geldi	o gelmek
ben alışveriş merkezine gidiyorum	ben alışveriş merkez gitmek
dün aldığım kamera budur	dün benim almak kamera bu
senin için bunu aldık	biz senin için bu almak
eskisi kadar çok içmiyorum	ben eski kadar çok içmek değil
avrupada ne kadar kazanıyor	o avrupa orada ne_kadar kazanmak ?
her zaman öyle düşündüm	ben her zaman öyle düşünmek
o sigara içmeyi bıraktı	o sigara_içmek bırakmak
araba sürmeyi biliyor mu	o araba sürmek bilmek ?
kendimi çok kötü hissetmedim	ben kendim çok kötü hissetmek değil
kızım şaşırarak soru sordu	benim kız şaşırmak soru sormak
bilgisayarda film seyretmeyi seviyorum	ben bilgisayar film seyretmek sevmek
arkadaşım herkese yardım etti	benim arkadaş herkes yardım_etmek
artık ne okuduğumu anlamıyorum	ben artık ne okumak anlamak değil
o kötü bir insan değil	o kötü bir insan değil
ben müzik dinlemeyi hiç sevmem	ben müzik dinlemek hiç sevmek değil
bu benim erkek kardeşimin arabası	bu benim erkek kardeş onun araba
evde kalıp seninle ilgilenmek zorundayım	ben ev orada kalmak senin ile ilgilenmek mecbur
çocuklar için indirim var mı	çocuk onlar için indirim var ?
onu eşine tanıştıran kişi bendim	o onun eş ile tanışmak kişi ben
kız kardeşimin bir işi var	benim kız kardeş onun bir iş var
arabasına zarar veren birisini görmüştüm	ben onun araba zarar vermek biri görmek
yiyecek bir şey hazırlıyor musun	sen yiyecek bir_şey hazırlamak ?
onlar beni izlemeye karar verdi	onlar ben izlemek karar vermek
futbol maçı izlemeyi hiç sevmem	ben futbol maç izlemek hiç sevmek değil
sevgilimin elini tutup arabayı gösterdi	o benim sevgili el tutmak araba göstermek
o mutfak masasındaki makbuzu gördüm	ben mutfak masa o makbuz görmek
hayatımda hiç daha iyi hissetmedim	ben benim hayat hiç daha iyi hissetmek değil
ben hoş bir insan değilim	ben hoş bir insan değil
şeker hastalığı körlüğe neden olur	şeker_hastalığı kör neden olmak
bana bir indirim yapar mısın	bana bir indirim yapmak ?
onlar kısa süre önce evlendiler	onlar kısa süre önce evlenmek
her gün yeni insanlarla tanışıyorum	ben her_gün yeni insan onlar ile tanışmak
o ve sen orada evlendiniz	o ve sen orada evlenmek
telefonunu evde unuttuğundan arkadaşını arayamadı	o onun telefon ev orada unutmak onun arkadaş aramak değil
babam bana bir kamera aldı	benim baba bana bir kamera almak
kız kardeşimin bir piyanosu var	benim kız kardeş onun bir piyano var
babam bana araba sürmeyi öğretti	benim baba bana araba sürmek öğretmek
filmi çok fazla kiş izlemiş	film çok fazla kişi izlemek
havanın nasıl olacağını merak ediyorum	ben hava nasıl olmak merak_etmek
herkese üç telefon numarası verilebilir	o herkes üç telefon numara vermek
onun iki erkek kardeşi var	onun iki erkek kardeş var
ebeveynlerim ben doğmadan önce evlendiler	benim ebeveyn ben doğmak önce evlenmek
o eşine gerçeği anlatmakta çekinmedi	o onun eş gerçek anlatmak çekinmek değil
o ve ben çok eğlendik	o ve ben çok eğlenmek
arkadaşlarımla beraber okuldaki geziye katıldık	biz benim arkadaş onlar ile okul orada gezi katılmak
sen futbol maçı izlemeyi sevmiyorsun	sen futbol maç izlemek sevmek değil
bir sürü eşim dostum var	benim bir sürü eş dost var
bana takımımızın kazandığı haberini verdi	o bana bizim takım kazanmak haber vermek
çünkü her şey çok ucuz	çünkü her_şey çok ucuz
o benim üvey erkek kardeşim	o benim üvey erkek kardeş
kız kardeşimin bir köpeği var	benim kız kardeş onun bir köpek var
sınavdaki soruların hepsini doğru yaptılar	onlar sınav soru hepsi doğru yapmak
onlar bunun imkansız olduğunu söylüyorlar	onlar bu imkansız olmak söylemek
erkek kardeşime bir sözlük verdim	ben benim erkek kardeş bir sözlük vermek
o ve o birlikte eğlendi	o ve o birlikte eğlenmek
hergün yatmadan önce kitap okumaz	o her_gün yatmak önce kitap okumak değil
ağaçtan düşen elmaları seyretmeyi sever	o ağaç düşmek elma seyretmek sevmek
arkadaşının çantasında iki cüzdan buldu	o onun arkadaş onun çanta orada iki cüzdan bulmak
arkadaşlarıyla beraber okuldaki geziye katıldı	o onun arkadaş onlar ile okul orada gezi katılmak
arabasına zarar veren birisini gördüm	ben onun araba zarar vermek biri görmek
anne hasta çocuğa özenle bakıyor	anne hasta çocuk bakmak
ablamla beraber dışarı çıkmak istiyor	o benim abla ile beraber dışarı çıkmak istemek
onun bir ilaç alerjisi var	onun bir ilaç alerji var
eski olan arabayı değiştirmek istiyor	o eski olmak araba değiştirmek istemek
arkadaşım aradığı kitabı okulda bulamamış	benim arkadaş aramak kitap okul orada bulmak değil
bana başka bir kamera göster	sen bana başka bir kamera göstermek
o asla benim eşim değildi	o asla benim eş değil
iki hemşire hasta ile ilgilendi	iki hemşire hasta ile ilgilenmek
kız kardeşime bir sözlük verdim	ben benim kız kardeş bir sözlük vermek
film seyredeceğiz sen de gel	biz film seyretmek sen gelmek
biz yemek pişirerek çok eğlendik	biz yemek pişirmek çok eğlenmek
annemin ve babamın arabası var	benim anne ve benim baba onların araba var
evet benim iki kardeşim var	evet benim iki kardeş var
erkek kardeşime bisikletimi tamir etti	benim erkek kardeş benim bisiklet tamir_etmek
daha büyük bir indirim istiyor	o daha büyük bir indirim istemek
doktoru sağlığının iyi olduğunu söyledi	onun doktor onun sağlık iyi olmak söylemek
kadın dışarıda kaybettiği çocuğu arıyordu	kadın dışarı orada kaybetmek çocuk aramak
bazen birkaç gün devam edebilir	bazen birkaç gün devam_etmek
o bir hasta bakıcı mıydı	o bir hasta_bakıcı ?
o benim erkek kardeşimin arkadaşıdır	o benim erkek kardeş onun arkadaş
dün akşam kargoyu arkadaşıma göndermedim	ben dün akşam kargo benim arkadaş göndermek değil
o hayvanları seviyor biliyor musun	o hayvan onlar sevmek sen bilmek ?
arkadaşları ağaçlardan düşen elmaları seyrediyordu	onun arkadaş onlar ağaç düşmek elma seyretmek
gerçekten büyük bir indirim umuyorum	ben gerçek büyük bir indirim istemek
ben onu kız kardeşiyle karıştırdım	ben o onun kız kardeş ile karıştırmak
eski olan arabayı değiştirmek istiyorum	ben eski olmak araba değiştirmek istemek
pahalı telefonun özellikleri daha iyiydi	pahalı telefon özellik daha iyi
bazı insanlar evcil hayvana sahiptir	bazı insan onlar evcil_hayvan sahip olmak
arabam eski olduğundan değiştirmek istiyorum	ben benim araba eski olmak değiştirmek istemek
anne oldum artık çok mutluyum	ben anne olmak artık çok mutlu olmak
ancak bu nedenlerden sadece biriydi	ancak bu çok neden biri olmak
orada havanın sıcak olacağını biliyorsun	sen orada hava sıcak olmak bilmek
ben onun imkansız olduğunu bilirim	ben onun imkansız olmak bilmek
hangi ucuz telefonu almak istiyorsun	sen hangi ucuz telefon almak istemek ?
annem polisleri gördükten sonra endişelenmedi	benim anne polis onlar görmek sonra endişelenmek değil
arabama zarar veren birisini gördüm	ben benim araba zarar vermek biri görmek
o ve sen nihayet evlendiniz	o ve sen nihayet evlenmek
şimdi daha güvende hissetmiyor musun	sen şimdi daha güven hissetmek değil ?
o bize bir yemek hazırladı	o bize bir yemek hazırlamak
ağaçlardan düşen elmaları seyretmeyi severim	ben ağaç düşmek elma seyretmek sevmek
sizin bir erkek kardeşiniz var	sizin bir erkek kardeş var
üzgünüm fakat o şimdi dışarıda	ben üzgün fakat o şimdi dışarı
neden arkadaşın hiç okula gelmiyor	neden senin arkadaş hiç okul gelmek değil ?
bana göre buna inanmak zor	bana göre bu inanmak zor
o adam kız kardeşime aşık	o adam benim kız kardeş aşık
eski sınıf öğretmenimi görmek istiyorum	ben benim eski sınıf öğretmen görmek istemek
polis bütün evleri ziyaret etti	polis bütün ev ziyaret_etmek
bugün yeni beş kitap aldım	ben bugün yeni beş kitap almak
bütün bu insanlarla tanıştınız mı	siz bütün bu insan onlar ile tanışmak ?
evet onun üç kardeşi var	evet onun üç kardeş var
annem bize öğle yemeği hazırladı	benim anne bize öğle yemek hazırlamak
onu gerçek amcam gibi görüyorum	ben o gerçek benim amca gibi görmek
eski arkadaşlarıyla çok fazla konuşur	o onun eski arkadaş onlar ile çok fazla konuşmak
annem buzdolabından yemek alıp ısıttı	benim anne buzdolabı yemek almak ısıtmak
ailesiyle beraber tatilde çok eğlendi	o onun aile ile tatil orada çok eğlenmek
eve geldikten sonra elini yıkadı	o ev gelmek sonra onun el yıkamak
bir insan eşine saygı göstermeli	bir insan onun eş saygı göstermek
evine iki yeni koltuk almış	o onun ev iki yeni koltuk almak
televizyonda tanıtılan telefonu çok beğenmiştim	ben televizyon tanıtmak telefon çok beğenmek
yarın markete gidip alışveriş yapacağım	ben yarın market gitmek alışveriş yapmak
sizin evde kamera var mı	sizin ev orada kamera var ?
biz oyunu izlerken zevk aldık	biz oyun izlemek zevk_almak
bugün hiç kimse iyimser hissetmiyor	bugün hiç_kimse iyimser hissetmek değil ?
onun üç tane erkek kardeşivar	onun üç tane erkek kardeş var
firma bu yıl çabucak gelişti	firma bu yıl gelişmek
o mutfak masasında tek oturdu	o mutfak masa tek oturmak
futbol maçı izlemeyi çok seviyorum	ben futbol maç izlemek çok sevmek
onlar benim kız kardeşimin kitaplarıdır	onlar benim kız kardeş onun kitap
o eski eşine geri döndü	o onun eski eş geri dönmek
yakında yeni bir makale yazacağız	biz yakında yeni bir makale yazmak
dışarıda balık tutan adamları seyrediyordu	o dışarı orada balık tutmak adam onlar seyretmek
havanın sıcak olduğunu düşünüyor musun	sen hava sıcak olmak düşünmek ?
onun üç kız kardeşi var	onun üç kız kardeş var
duvara güçlü bir şekilde vurdum	ben duvar güçlü vurmak
okula giderken çantasını evde unutmuş	o okul gitmek çanta ev orada unutmak
ablam kapıyı açık bıraktığında kızıyorum	benim abla kapı açık bırakmak ben kızmak
arkadaşları kavanozun kapağını yerine koydu	onun arkadaş kavanoz kapak yer koymak
o benim ile birlikte eğlendi	o benim ile birlikte eğlenmek
ben müzik dinlemeyi çok severim	ben müzik dinlemek çok sevmek
ben senin için çok endişelendim	ben senin için çok endişelenmek
ben bugün ödevlerimi yapmayı unutmadım	ben bugün benim ödev yapmak unutmak değil
annem avrupadaki akrabalarını çok özledi	benim anne avrupa orada onun akraba çok özlemek
dün akşam kargoyu arkadaşıma gönderdim	ben dün akşam kargo benim arkadaş göndermek
odamı temizleyip babama yardım ettim	ben benim oda temizlemek sonra benim baba yardım_etmek
o çok geçmeden yeniden evlendi	o çok geçmek değil yeniden evlenmek
sabahları erken uyanmayı sever mi	o sabah erken uyanmak sevmek ?
odamı temizleyip babama yardım etti	o benim oda temizlemek sonra benim baba yardım_etmek
hangi renk kıyafet almak istersin	sen hangi renk kıyafet almak istemek ?
o zengin bir adamla evlendi	o zengin bir adam ile evlenmek
sen beni buraya kadar izledin	sen ben bura kadar izlemek
onu akıl hocam gibi görüyorum	ben o benim akıl hoca gibi görmek
bana uzun cümlelerle cevap veriyordu	o bana uzun cümle cevap vermek
erkek kardeşimin hiçbir şeyi yok	benim erkek kardeş onun hiç bir_şey yok
eski arkadaşlarımla çok fazla konuşuyorum	ben benim eski arkadaş onlar ile çok fazla konuşmak
eski arkadaşlarımla çok fazla konuşmuyorum	ben benim eski arkadaş onlar ile çok fazla konuşmak değil
benim köpeğim yok kuşum var	benim köpek yok kuş var
kız kardeşimin uzun bacakları var	benim kız kardeş onun uzun bacak var
babam salonda oturmuş televizyon seyrediyor	benim baba salon orada oturmak televizyon seyretmek
annem arkadaşıyla birlikte okula gitti	benim anne onun arkadaş ile birlikte okul gitmek
telefonumu dışarıda kaybettiğimden çok endişeliyim	ben benim telefon dışarı orada kaybetmek çok endişeli
eve geldikten sonra elimi yıkadım	ben ev gelmek sonra benim el yıkamak
ben hastayım o yüzden yapmayacağım	ben hasta o_yüzden ben yapmak değil
hergün yatmadan önce kitap okur	o her_gün yatmak önce kitap okumak
ben senin erkek kardeşine benziyorum	ben senin erkek kardeş benzemek
birçok insan onun cenazesine katıldı	birçok insan onun cenaze katılmak
adama muzun fiyatını neden sormadın	sen adam muz fiyat neden sormak değil ?
üniversitede profesör olmak için çalışıyordu	o üniversite orada profesör olmak için çalışmak
biz bunu üç kere yaptık	biz bu iki defa yapmak
sen her gün kitap okuyorsun	sen her_gün kitap okumak
hemen onu görmek için gittim	ben hemen o görmek için gitmek
arkadaşları ağaçtan düşen elmaları seyrediyordu	onun arkadaş onlar ağaç düşmek elma seyretmek
ne kadar indirim alabileceğimi düşünüyorsun	sen düşünmek ben ne_kadar indirim almak ?
evet benim üç kardeşim var	evet benim üç kardeş var
ben çocuklar ile iyi anlaşırım	ben çocuk onlar ile iyi anlaşmak
yerde bulduğu telefonu polise vermedi	o onun yer orada bulmak telefon polis vermek değil
annesi buzdolabından yemek alıp ısıtmış	onun anne buzdolabı yemek almak ısıtmak
sabahları erken uyanmayı sever misin	sen sabah erken uyanmak sevmek ?
yarın istanbula gitmek istiyor musun	sen yarın istanbul gitmek istemek ?
sen bizi buraya kadar izledin	sen biz bura kadar izlemek
o bir hemşire ile evlendi	o bir hemşire ile evlenmek
akşamları denizde yüzmeyi çok seviyor	o akşam deniz orada yüzmek çok sevmek
ben kötü bir insan mıyım	ben kötü bir insan ?
o bir öğretmen ile evlendi	o bir öğretmen ile evlenmek
doktoru sağlığım iyi olduğunu söyledi	onun doktor benim sağlık iyi olmak söylemek
akşam yemeği için masayı hazırladın	sen akşam yemek için masa hazırlamak
eski sınıf öğretmenini görmek istiyor	o onun eski sınıf öğretmen görmek istemek
o evleri nasıl satacağını bilir	o ev nasıl satmak bilmek
dün akşam kargoyu arkadaşıma gönderdi	o dün akşam kargo benim arkadaş göndermek
fotoğraf gezisine gitmeyi çok severim	ben fotoğraf gezi gitmek çok sevmek
araba sürerken çok mutlu görünmüyordu	o araba sürmek çok mutlu görünmek değil
ablam avrupadaki kardeşime iyi davranıyor	benim abla avrupa orada benim kardeş iyi davranmak
o zaman tren çok kalabalıktı	o zaman tren çok kalabalık
duvara güçlü bir şekilde vurdu	o duvar güçlü vurmak
deniz havasında yürümeyi çok severim	ben deniz hava yürümek çok sevmek
ben çok başarılı olmak istiyorum	ben çok başarılı olmak istemek
otobüs hangi numaralı kapıdan kalkıyor	otobüs hangi numara kapı kalkmak ?
hergün yatmadan önce kitap okumam	ben her_gün yatmak önce kitap okumak değil
kaçmak için her yolu düşündüm	ben kaçmak için her yol düşünmek
daha önce hiç böyle hissetmedim	ben daha önce hiç böyle hissetmek değil
yarın havanın iyi olacağını söyledi	o yarın hava iyi olmak söylemek
daha büyük bir indirim istedi	o daha büyük indirim istemek
