iyi geçti mi	iyi geçmek ?
bu çay iyidir	bu çay iyi
genellikle derse geç gelir	o hep ders geç gelmek
herkes iyiydi	herkes iyi
doktora gittim	ben doktor gitmek
neden bana söylemedin sen hiç sormadın	sen neden bana söylemek değil hiç sormak değil
onların arkdaşı sevgilisini gördüğünde gülümsedi	onların arkadaş onun sevgili görmek gülümsemek
arkadaşlarıyla beraber okuldaki geziye katıldı	o onun arkadaş onlar ile okul orada gezi katılmak
ceketimi alacağım	ben benim ceket almak
onun büyük kardeşi ailesiyle daha fazla zaman geçirmek istiyordu	onun büyük kardeş onun aile ile daha fazla zaman geçirmek istemek
bunu yaptığı için ona para cezası verildi	o bu yapmak için onlar ona para ceza vermek
yağmurda yürümeyi seviyorum	ben yağmur yağmak yürümek sevmek
yorgun olacağını biliyordum	ben bilmek sen yorgun olmak
ona bütün paramı verdim	ben ona benim bütün para vermek
o nereden kalkıyor	o nereden kalkmak ?
aslında bu sorunun cevabını biliyorum	ben bu soru cevap bilmek
bu çiçekleri size kim verdi	bu çiçek x2 size kim vermek ?
o fikre karşı çıktım	ben o fikir karşı çıkmak
senin düşündüğünden daha sertim	ben senin düşünmek daha sert
benimle otelde buluştu	o benim ile otel orada buluşmak
o bir iş arıyordu	o bir iş aramak
hiç mutlu değilim	ben hiç mutlu olmak değil
bence o ağlayabilir	bence o ağlamak
babam hergün yatmadan önce kitap okur	benim baba her_gün yatmak önce kitap okumak
dışarıya çıkarttığım köpeği kaybettim	ben dışarı çıkmak köpek kaybetmek
rapor doğru olabilir mi	rapor doğru olmak ?
bu ders çok kolay	bu ders çok kolay
onun gitmesine izin verdim	sen onun gitmek izin_vermek
çocuklar hızlı çalışır	çocuk onlar hızlı çalışmak
o bir kadın oldu	o bir kadın olmak
biz sakiniz	biz sakin
yolda oynamayın	siz yol orada oynamak değil
ne kadar uzakta	o ne kadar uzak
senin arkadaşını hiç görmedim	ben senin arkadaş hiç görmek değil
onun hepsi iyiydi	onun hepsi iyi
o beni öldürmeye çalışıyordu	o ben öldürmek çalışmak
arkdaşım deli olduğumu düşünüyor	benim arkadaş benim deli olmak düşünmek
öğle yemeği zamanı	öğle yemek zaman
annemin arkadaşı aradığı kitabı okulda bulamamış	benim anne onun arkadaş aramak kitap okul orada bulmak
hiç arkadaşım yok	benim hiç arkadaş yok
erken kapattık	biz erken kapatmak
insanlar aç gözlüdür	insan onlar aç_gözlü
onunla arabaya bineceğim	ben onun ile araba binmek
şimdi kar yağıyor	şimdi kar yağmak
bir doktora ihtiyacım var	benim bir doktor ihtiyaç var
çocuğum okulda başarılı	benim çocuk okul orada başarılı
ne zaman şarkılar yazmaya başladın	sen ne_zaman şarkı yazmak başlamak ?
bugün hava güneşli	bugün hava güneş
o panik içinde	o panik içinde
o üç yaşında	o üç yaş
niye hâlâ buradasın	sen niye hâlâ burada ?
yarın biraz eğleneceğiz	biz yarın biraz eğlenmek
sadece yürüyüşe çıktım	ben sadece yürümek çıkmak
arkadaşımın ev ödevimi kopyalamasına izin verdim	ben benim arkadaş benim ödev kopyalamak izin_vermek
o kimdir	o kim ?
biz yaşlı adamı işe aldık	biz yaşlı adam iş almak
onlar kazandı	onlar kazanmak
çok hasta	o çok hasta
ben burada doktorum	ben burada doktor
polisi gördüğünde o kaçtı	o polis görmek kaçmak
herkes ayağa kalksın	herkes ayak kalkmak
bu günün hayalini ederdim	ben bu gün hayal_etmek
sen zaten bitirdin	sen zaten bitirmek
bugün seni gördüm	ben bugün sen görmek
herkes yalan söyler	herkes yalan_söylemek
mutlu hissetti	o mutlu hissetmek
birbirimizi anlıyoruz	ben anlamak sen
herkes kadar şaşırdım	ben herkes kadar şaşırmak
çok fazla fotoğraf çekmeyi sevmiyorum	ben çok fazla fotoğraf_çekmek sevmek değil
eşim bir doktordur	benim eş doktor
başarılı mıydın	sen başarılı ?
ben çok endişeliyim	ben çok endişeli
bir arkadaşımı arıyorum	ben benim bir arkadaş aramak
sadece güçlü hissediyorum	ben sadece güçlü hissetmek
sen geri döndün	sen geri dönmek
o telefonunu kapattı	o onun telefon kapatmak
bulduk	biz bulmak
ne güzel	ne güzel
mutfak	yemek aile
bir tuzlu börek yedim	ben tuzlu börek yemek
ben kediyi gördüm	ben kedi görmek
cevap yazın	siz cevap yazmak
ben yavaş yerim	ben yavaş yemek
bunu nasıl yaparız	biz bu nasıl yapmak
bu filmi kim üretti	bu film kim üretmek
biz iş istiyoruz	biz iş istemek
o beklemek istiyordu	o beklemek istemek
şimdi gitmeyin	siz şimdi gitmek değil
ben araba satarım	ben araba satmak
son karar öğrencilere kalmış	son karar öğrenci kalmak
bu yeni mi	bu yeni ?
pencereleri kapatmayı unutmayın	siz pencere kapatmak unutmak değil
düşündüğünden daha yaşlıyım	ben senin düşünmek daha yaşlı
o hareket etmeye başladı	o hareket_etmek başlamak
ben paramı geri istiyorum	ben benim para geri istemek
kuzenim avrupada amcasıyla kalıyor	benim kuzen avrupa orada onun amca ile kalmak
arkadaşım işe bisikletle gider	benim arkadaş iş bisiklet gitmek
yavaş	yavaş
bu annemin bir resmidir	bu benim anne bir resim
seni istemiyor	o istemek değil sen
siz fakirsiniz	siz fakir
onun aklı başka yerde	onun akıl başka yer
buna inanmak istiyorum	ben bu inanmak istemek
ben kahve içmedim	ben kahve içmek değil
siz mutlu musunuz	siz mutlu ?
bir yere ihtiyacım var	ben bir yer ihtiyaç var
dışarıya çıktık	biz dışarı çıkmak
sen bizim çok meşgul olduğumuzu görmüyor musun	sen bizim çok meşgul olmak görmek ?
onlardan kurtulacağım	ben onlar kurtulmak
o serileri kaybettiler	onlar o seri kaybetmek
eski arkadaşlarımla çok fazla konuşmuyorum	ben benim eski arkadaş onlar ile çok fazla konuşmak değil
resim yapamam	ben resim_yapmak değil
eğitim almaya çalışıyorum	ben eğitim almak çalışmak
beş adet pul aldım	ben beş adet pul almak
yatak çok kısaydı	yatak çok kısa
biz onu canlı bulduk	biz canlı bulmak o
senin numaranı unuttum	ben senin numara unutmak
paketlemeyi bitirdin mi	sen paketlemek bitirmek ?
burada yirmi aile yaşar	burada yirmi aile yaşamak
her zaman her şey hakkında endişeleniyorum	ben her zaman her_şey hakkında endişelenmek
bu toplantıyı yapıp da kurtulalım	biz bu toplantı yapmak kurtulmak
ben çok şaşırmıştım	ben çok şaşırmak
otomobilini niye sattın	sen senin otomobil niye satmak ?
ben kız kardeşime benzerim	ben benim kız kardeş benzemek
o mutfakta	o mutfak orada
ben az çok mutluyum	ben az çok mutlu
öğretmene soralım	biz öğretmen sormak
onlar aynı yaşta	onlar aynı yaş
yoruldum ama hala uyumaya gidemiyorum	ben yorulmak ama hâlâ uyumak gitmek değil
öğretmenler özel insanlardır	öğretmen özel insan
o oraya doğru yola çıktı	o oraya doğru yola_çıkmak
teyzeme duymadığımı söyledim	ben benim teyze benim duymak değil söylemek
benim için yemek pişir	sen benim için yemek pişirmek
ben gerçekten çocuklarla iyiyim	ben gerçek çocuk x2 ile iyi
hep çalışıyordu	o hep çalışmak
uzun boylu musun	sen uzun boy ?
turistler hiç bu dükkandan hediyelik eşya almadılar	turist onlar hiç bu dükkan hediye eşya almak değil
o onun ayakkabılarını attı	o onun ayakkabı atmak
polis arkadaşımla dışarıda geziyor	o benim polis arkadaş ile dışarı orada gezmek
babasının adamları gökyüzünün mavi olmasıyla ilgili birçok araştırma açıklanmıştır	onun baba onun adam onlar gökyüzü mavi olmak ilgili birçok araştırma açıklamak
onu hiç görmedim	ben o hiç görmek değil
onu görmek için buradayım	ben o görmek için burada
kimse seni sevmiyor	kimse sen sevmek değil
o bu kitabı yazdı	o bu kitap yazmak
o hasta mı	o hasta ?
gitmekten mutlu olurum	ben gitmek mutlu olmak
parti bitiyor	benim parti bitmek
beni bazen ziyaret eder	o ben bazen ziyaret_etmek
arabayı durdur	araba durdurmak
yeter artık ağlamak istiyorum	yeter artık ben ağlamak istemek
nedenini söyledi mi	o söylemek neden ?
o bir iş istiyor	o bir iş istemek
bize müzik öğretti	o bize müzik öğretmek
beni bazen ara	sen ben bazen aramak
bana bak	sen bana bakmak
biraz hastayım	ben biraz hasta
müzik durdu	müzik durmak
okumak istemiyor musun	sen okumak istemek değil ?
cüzdanını masaya bıraktı	o cüzdan masa üzerine bırakmak
karı severim	ben kar sevmek
kabuklu deniz hayvanlarına alerjim var	benim kabuk deniz hayvan x2 alerji var
televizyonda tanıtılan telefonu çok beğenmiştim	ben televizyon tanıtmak telefon çok beğenmek
onlarla uğraşabiliriz	biz onlar ile uğraşmak
onu yapmaya hazırım	ben o yapmak hazır
güvenli değilsin	sen güven değil
o babasına bir kravat verdi	o onun baba bir kravat vermek
bu çok fazla mı	bu çok fazla ?
fikrinizi almak istiyorum	ben sizin fikir almak istemek
sen bana aşık olmanın nasıl bir duygu olduğunu söyle	sen bana aşık_olmak nasıl bir duygu söylemek
neden biz fakiriz	neden biz fakir ?
televizyonum bozuldu	benim televizyon bozulmak
evde kalın	siz orada kalmak
umursadığımımı düşünüyor musun	sen benim umursamak düşünmek ?
üniversiteye gidiyorum	ben üniversite gitmek
o tanıdığım bir adama benziyor	o benim tanımak bir adam benzemek
ona gitmek istemediğimi söyledim	ben ona gitmek istemek değil söylemek
hasta oldu	o hasta_olmak
odasını toparladı	o onun oda düzenlemek
o bunu biliyor	o bu bilmek
oraya gidiyoruz	biz oraya gitmek
bir adam daha önce burada onu arıyordu	bir adam daha önce burada o aramak
ben okula gidiyorum	ben okul gitmek
yemek pişirmeni izlemeyi seviyorum	ben senin yemek pişirmek izlemek sevmek değil
hiç kitap okumam	ben hiç kitap okumak değil
çanta ağır	çanta ağır
arkadaşım ve sevgilisi anlaşmayı imzalamıştı	benim arkadaş ve onun sevgili anlaşma imzalamak
sanırım onu bulduk	biz sanmak bulmak o
arabamı satıyorum	ben benim araba satmak
babam ülkede yaşıyor	benim baba ülke yaşamak
o arkadaşlarının kendisinin ağladığını görmesini istemiyordu	o onun arkadaş kendi ağlamak görmek istemek değil
bunu denemek istiyordum	ben bu denemek istemek
senin telefon numaranı kaybettim	ben senin telefon numara kaybetmek
geldiğin için teşekkürler	sen gelmek için teşekkür
çok mutlu oldular	onlar çok mutlu olmak
onun bir tatile ihtiyacı var	onun bir tatil ihtiyaç var
lütfen telefonu kapatma	sen lütfen telefon kapamak değil
arkadaşım aradığı kitabı okulda bulamamış	benim arkadaş aramak kitap okul orada bulmak değil
şimdi ne oluyor	şimdi ne olmak ?
o adam sadece bir aile dostu	o adam sadece bir aile dost
erkek kardeşimle oynamak istiyorum	ben benim erkek kardeş ile oynamak istemek
ben tv izleyeceğim	ben televizyon izlemek
annemi görünce çok şaşırdı ve bana sarıldı	o benim anne görmek çok şaşırmak ve o bana sarılmak
o çok çalışmak zorunda	o çok çalışmak lazım
öyle değil	öyle değil
sinemada hiç zevk almadım	ben sinema hiç zevk_almak değil
ben artık bir erkeğim	ben artık bir erkek
şimdi iyiyim	ben şimdi iyi
biraz eğlendim	ben biraz eğlenmek
tenis oynamak eğlenceli	tenis oynamak eğlence
o üvey annesini sevmez	o onun üvey anne sevmek değil
o ne zaman bitti	o ne_zaman bitmek ?
yakında ailemle beraber tatile gidiyoruz	biz yakında benim aile ile beraber tatil gitmek
daha fazla yapabiliriz	biz daha fazla yapmak
mutfakta yardımcı olur	o mutfak orada yardımcı_olmak
yerini almak zor olacak	senin yer almak zor olmak
bütün hayvanları seviyorum	ben bütün hayvan onlar sevmek
bunun için teşekkür ederim	ben bu için teşekkür_etmek
o biraz eğlendi	o biraz eğlenmek
o az önce evden ayrıldı	o şimdi ev orada ayrılmak
o geldi	o gelmek
onlar sadece insan	onlar sadece insan
kendimi aptal hissettim	ben kendim aptal hissetmek
ben dün gece futbol izlerken zevk aldım	ben dün gece futbol izlemek zevk_almak
beni gördüğünde gülümsedi	o ben görmek gülümsemek
o onlar oluyor	o onlar olmak
annem akşam yemeği hazırlıyor	benim anne akşam yemek hazırlamak
erken geldi	o erken gelmek
o seninle birlikte mi	o senin ile birlikte ?
o onu neden yaptığımı sordu	o o neden yapmak sormak
bir tane daha istiyorum	ben bir tane daha istemek
sabah arkadaşıyla beraber okula yüreyerek gittik	biz sabah onun arkadaş ile beraber okul yürümek gitmek
o bana bir taksi buldu	o bana bir taksi bulmak
o hızlı yürür	o hızlı yürümek
onu tanıyor musunuz	siz tanımak o ?
yakın dur	sen yakın durmak
babam artık bana bir kamera almayacak	benim baba artık bana bir kamera almak değil
onun eski arabasını istemediğimi söyle	sen söylemek ben onun eski araba istemek değil
o eski arkadaşını görmek için gitmiş olmalı	o onun eski arkadaş görmek için gitmek olmak
onu ben yaptım	o ben yapmak
kazanmak için oynadık	biz kazanmak için oynamak
uzun zaman önceydi	o uzun zaman önce
çok uyudum	ben çok uyumak
daha fazla yere ihtiyacım var	ben daha fazla yer ihtiyaç var
ben yemek yemek için dışarı çıktım	ben yemek yemek için dışarı çıkmak
benimle buluştu	o benim ile buluşmak
otobüs çok kalabalık olduğundan eve yürüyerek gidiyor	otobüs çok kalabalık olmak o ev yürümek gitmek
bir kız kardeşin yok mu	senin bir kız kardeş yok ?
bir gün avrupada yaşamak istiyorum	ben bir gün avrupa orada yaşamak istemek
kaç ülkeye gittiniz	siz kaç ülke gitmek ?
anlaşmayı kabul etmedim	ben anlaşma kabul_etmek değil
arkadaşımın kardeşi çantasını alıp gitti	benim arkadaş onun kardeş onun çanta almak gitmek
ben babamın hesabına çalışıyorum	ben benim baba hesap çalışmak
o beni aradı	o ben aramak
dans etti	o dans
çocukların eğlenmesine izin verin	siz çocuk x2 oynamak izin_vermek
güzel bir adam	güzel bir adam
zevk alıp almadığımı arkadaşıma sor	sen benim zevk_almak almak değil benim arkadaş sormak
ben seni unutmadım	ben sen unutmak değil
onların hepsinin çocukları var	onların hepsi çocuk x2 var
gelecek ay arkadaşımla birlikte oraya gideceğim	ben gelecek ay benim arkadaş ile birlikte oraya gitmek
çözdün galiba	sen çözmek galiba
o bir dergi okurken bir sandalyeye oturdu	o bir sandalye oturmak bir dergi okumak
kitabımı buldum	ben benim kitap bulmak
telefonun nerede	benim telefon nerede ?
geçmiş olsun	geçmiş_olsun
o yapmak istiyordu	o yapmak istemek
şimdi onu okuyorum	ben şimdi okumak o
ben bir mektup yazıyorum	ben bir mektup yazmak
onu telefonla arayacağım	ben o telefon ile aramak
o sıcaktı	o sıcak
bunu yaparak çok para kazandık	biz bu yapmak çok para kazanmak
bu sabah saçımı yıkadım	ben bu sabah benim saç yıkamak
annen kim	senin anne kim ?
kız kardeşim benim yakınımda oturmuyor	benim kız kardeş benim yakında oturmak
girişte duruyordu	o giriş orada durmak
yardım edeceğim	ben yardım_etmek
bu sabah arabamla bir sorun yaşadım	ben bu sabah benim araba ile bir sorun yaşamak
o kadar bekledim	ben o_kadar beklemek
ben sınıfa gitmek istiyorum	ben sınıf gitmek istemek
bu iyi havanın devam etmesini beklemeyin	siz bu iyi hava devam_etmek beklemek değil
aradığımı bulamadım	ben aramak bulmak ebilmek değil
bu benim en sevdiğim grup	bu benim en sevmek grup
cüzdanını getir	sen senin cüzdan getirmek
bu çok pahalı	bu çok pahalı
ben ödeme yapıyorum	ben ödemek yapmak
ben onun annesi değilim	ben onun anne değil
o seni istiyordu	o seni istemek
duvara tırmanma	sen duvar tırmanmak değil
öğrenci değilim	ben öğrenci değil
senin geldiğini duymadım	ben senin gelmek duymak değil
yerde bulduğu telefonu polise verdi	o onun yer orada bulmak telefon polis vermek
güneşli günlerde yürüyüşe giderdik	biz güneş gün yürümek gitmek
ona sahibim	ben ona sahip
cüzdan bulan oldu mu	kimse cüzdan bulmak ?
bu defa kazanabiliriz	biz bu defa kazanmak
kütüphane tüm öğrencilere açıktır	kütüphane tüm öğrenci açık
yaşam zordur	hayat zor
bu ne anlama geliyor?	bu ne demek ?
öldür onu	sen o öldürmek
o galiba masum	o galiba masum
spor salonundayım	ben spor_salonu orada
olay çıkarma şimdi	sen olay çıkarmak değil şimdi
zamanım var	benim zaman var
o arkadaşım değil	o benim arkadaş değil
hepsini bana ver	sen hepsi bana vermek
o bir ilaç gibi	o bir ilaç gibi
ancak bu senin düşündüğünden daha zordur	ancak bu senin düşünmek daha zor
evde cüzdanını bıraktı	o ev orada cüzdan bırakmak
aradığın kişinin o olduğunu biliyorum	senin aramak kişi o olmak ben bilmek
kazandık mı	biz kazanmak ?
zaman geçirmek için film izleyip oyun oynadık	biz zaman geçirmek için film izlemek oyun oynamak
ben her zamanki gibi ellerimi yıkadım	ben her zaman gibi el x2 yıkamak
yola çıkmak istiyorum	ben yola_çıkmak istemek
herkes destek veriyordu	herkes destek vermek
o iyi bir kamera	o iyi bir kamera
mutfak çekmecelerini aradı	o mutfak çekmece aramak
o samimi bir şekilde gülümsedi	o samimi bir şekil gülümsemek
galiba çok fazla içtim	galiba ben çok fazla içmek
bu yazıyı benim için düzeltebilir misin	sen bu yazı benim için düzeltmek ?
tam olarak kaç yaşındasın	sen tam kaç yaş ?
bugün gitarımı sattım	ben bugün benim gitar satmak
yazmaya başlayın	siz yazmak başlamak
bilgisayarda film seyretmeyi seviyorum	ben bilgisayar film seyretmek sevmek
bir kaza değildi	bir kaza değil
birkaç fikrim var	benim birkaç fikir var
o kimseyi görmedi	o kimse görmek değil
borç aldığım ev şehir merkezinden çok uzakta	benim borç_almak ev şehir_merkez çok uzak
ben bir aile dostuna sahibim	ben bir aile dost sahip
genel not ortalaman nedir	senin genel not ortalama ne ?
kazandık	biz kazanmak
bu benim param değil	bu benim para değil
bizimle misin	sen bizim ile ?
telefonunu götürüyorum	ben senin telefon götürmek
üşüyor musun	sen üşümek ?
o bize yalan söylemiş olabilir	o bize yalan_söylemek olmak
o çocuklarla başa çıkmada iyidir	o çocuk x2 ile uğraşmak iyi
biz hiç tanışmadık	biz hiç tanışmak değil
neden çok uzun süre bekledin	sen neden çok uzun süre beklemek ?
ben bunu iyi anlamadım	ben bu iyi anlamak değil
biz bütün gece satranç oynadık	biz bütün gece satranç oynamak
bir insanın vücudu ölür ama ruhu ölmez	bir insan vücut ölmek ama ruh ölmek değil
o onu söyledikten sonra utandı	o o söylemek sonra utanmak
müdürümü aradım	ben benim müdür aramak
o benim oraya gitmemi engelledi	o benim oraya gitmek engellemek
yürürken şarkı söyledik	biz yürümek şarkı söylemek
dışarıda birisi var	dışarı orada biri var
bu zor değil	bu zor değil
hiç kimseyi bulamadım	ben hiç_kimse bulmak ebilmek değil
onlar bize bir aile gibi davrandı	onlar bize aile gibi davranmak
daha iyi bir öğretmene soramadım	ben daha iyi bir öğretmen sormak değil
onun şimdiye kadar yazdığı her şarkının her kelimesini biliyorum	ben onun şimdi kadar yazmak her şarkı her kelime bilmek
ona inanmıyorum	ben o inanmak değil
onu yazdım	ben o yazmak
farklı bir ülkeye taşınmam gerekiyor	benim farklı bir ülke taşınmak gerek
oraya ilk olarak vardım	oraya ilk ben varmak
o tekrar aradı	o tekrar aramak
ben dışarıda yedim	ben dışarı orada yemek
öğrenciler güldüler	öğrenci gülmek
tamam hazırım	tamam ben hazır
çok kan kaybetti ve doktorlar endişelendi	o çok kan kaybetmek doktor x2 endişelenmek
şimdi yoluna devam et	sen şimdi yol devam_etmek
sen neden gidiyorsun	sen neden gitmek
ilk sen geldin	ilk sen gelmek
çok kitap okumaz	o çok kitap okumak değil
onu istedi	o o istemek
hangi ülkede daha çok para kazanırım	ben hangi ülke daha çok para kazanmak ?
yorgun musun	sen yorgun ?
o ben geldikten az sonra geldi	o ben gelmek az sonra gelmek
ben bazen anneme mektup yazarım	ben bazen benim anne mektup yazmak
saat öğleyi geçmiş haydi yemek yiyelim	saat öğle geçmek hadi biz yemek yemek
televizyonu bozmasına izin verme	sen onun televizyon bozmak izin_vermek değil
onu başka bir yerde yap	sen o başka bir yer yapmak
kurbağalar böcek yerler	kurbağa x2 böcek yemek
yiyordu	o yemek
onun işini çok beğendim	ben onun iş çok beğenmek
bir adım geri at	sen bir adım geri atmak
çamaşır yıkadın mı	sen çamaşır yıkamak
bunu yapmak kolaydır	bu yapmak kolay
o kadar kötü mü	o_kadar kötü ?
avrupada birçok eski şato vardır	avrupa birçok eski şato varmak
şu adamları tanıyor musun	sen şu adam onlar tanımak ?
sen arabamı ödünç alabilirsin	sen benim araba ödünç almak
dün arabamı yıkadım	ben benim araba yıkamak
ciddi ol	sen ciddi olmak
ona yardım ediyorum	ben ona yardım_etmek
onların hepsi biliyorlar	onlar hepsi bilmek
çocuk sahibi olamıyorum	ben çocuk sahip olmak değil
pazar sabahları geç kalkar	o pazar sabah geç kalkmak
savaşta pek çok insan genç yaşta öldü	savaş orada çok insan genç yaş ölmek
ben yataktan fırladım	ben yatak orada fırlamak
ayağa kalk ve yürü	sen ayak kalkmak ve yürümek
onun gibiyim	ben onun gibi
yağlı yiyecekleri sevmiyorum	ben yağ yiyecek sevmek değil
onun yazdığı kalem budur	onun yazmak kalem bu
et yer misin	sen et yemek ?
onun üç tane erkek kardeşivar	onun üç tane erkek kardeş var
bunu duymak istiyorum	ben bu duymak istemek
komşu çocuklarıyla ilgilenmek zorundayım	ben komşu çocuk onlar ile ilgilenmek mecbur
aşk yoktur	aşk yok
beni anlıyor musun	sen ben anlamak ?
o ödemeyi unuttu mu	o ödemek unutmak ?
ben bunu almak istedim	ben bu almak istemek değil
bu ne renk	bu ne renk ?
orada olmak istiyordum	ben orada olmak istemek
onu değiştirmek istiyoruz	biz değiştirmek istemek o
şimdi gideceğim	ben şimdi gitmek
biz son derece sert oynadık	biz son derece sert oynamak
bu çok düşük	bu çok düşük
kimler geldi kimler geçti	kim gelmek kim geçmek
bilgisayarda hasar vardı	bilgisayar hasar var
iyi olacağını düşünüyorum	ben bilmek sen iyi olmak
endişeli değil	o endişeli değil
bunu yapmak için neden son dakikaya kadar bekledin	sen bu yapmak için neden son dakika kadar beklemek ?
şehir merkezinde mi çalışıyorsun	sen şehir_merkezi orada çalışmak ?
o polisleri çağıracak	o polis çağırmak
o bana arabasının mağazada olduğunu söyledi	o bana onun araba mağaza orada olmak söylemek
onu otobüste bırakmış olmalıyım	ben o otobüs orada bırakmak olmak
sadece para	sadece para
yaramaz mıydın	sen yaramaz ?
sen parayı sakladın	sen para saklamak
onun arabasının ne renk olduğunu biliyor musun	sen onun araba ne renk olmak bilmek ?
yatak odan nerede	senin yatak_odası nerede ?
arkadaşımla beraber dışarıda yatan köpeği görünce çok üzülmedik	biz benim arkadaş ile beraber dışarı orada yatmak köpek görmek çok üzülmek değil
onun işe yaramaz olduğunu biliyordum	ben o iş yaramaz olmak bilmek
babam nerede	benim baba nerede ?
odamı temizleyip anneme yardım ettim	ben benim oda temizlemek sonra benim anne yardım_etmek
çocukların oynamasına izin ver	sen çocuk x2 oynamak izin_vermek
önce ben gidebilir miyim	önce ben gitmek ?
bu sabah sorunu çözmeyi başardım	ben bu sabah sorun çözmek başarmak
varsın öyle olsun	varmak öyle olmak
bunu nasıl yapacağımı biliyorum	ben bu nasıl yapmak bilmek
o gelmedi	o gelmek değil
ben o bilgisayarı mutlaka alacağım	ben o bilgisayar mutlaka almak
evden ayrılıyor	o ev orada ayrılmak
çok genç yaşta evlendim	ben çok genç yaş evlenmek
o yararlı mıydı	o yararlı ?
o çok fazla	o çok fazla
soğuk değil	soğuk değil
onun erkek arkadaşının adı nedir	onun erkek arkadaş ad ne ?
hemen başlayacağız	biz hemen başlamak
ne söyleyeceğimi şaşırdım	ben benim ne söylemek şaşırmak
o benim en sevdiğim bahane	o benim en sevmek bahane
hepimiz çok çalışıyoruz	biz hepimiz çok çalışmak
sadece zamanını boşa harcıyorsun	sen sadece senin zaman boş harcamak
sıcak bir gündü	sıcak bir gün
sana bu nedenle geldim	ben sana bu neden gelmek
neden gidemem	ben neden gitmek değil ?
pencereden dışarıya bakmayı bırak	sen pencere dışarı bakmak bırakmak
işi istemiyordu	o iş istemek değil
bu müzik nedir	bu müzik ne ?
o görünce ürperdi	o görmek ürpermek
eski günlüğümü okumam ilginç	benim eski günlük okumak ilginç
onlar bu hafta sonu çalışıyorlar	onlar bu hafta_sonu çalışmak
onun birkaç arkadaşı var	onun birkaç arkadaş var
o bu üniversitede bir öğrenci	o bu üniversite bir öğrenci
annenin onu sana söylediğine inanamıyorum	ben senin anne o sana söylemek inanmak değil
o geceyi bir arkadaşının evinde kaldı	o gece bir arkadaş ev orada kalmak
dışarda mı	o dışarı orada ?
şeker hastalığın var mı	senin şeker_hastalığı var ?
nasıl yaptın	sen nasıl yapmak ?
o erkek kardeşinin yanında duruyordu	o onun erkek kardeş yanında durmak
biz ayrılmak istiyoruz	biz ayrılmak istemek
ona annesinin nerede olduğunu sordu	o ona onun anne nerede olmak sormak
ev çok sıcak	ev çok sıcak
televizyon seyretmeyi sevmiyorum	ben televizyon seyretmek sevmek değil
ilgilenmediğimi görmüyor musun	sen benim ilgilenmek görmek değil ?
ona yakında gelmesini söyledim	ben ona yakında gelmek söylemek
geceleyin dolaşırken kendimi güvensiz hissediyorum	ben gece dolaşmak güven hiç hissetmek
nadiren dergi okur	o az dergi okumak
ne kadar sürede gidebilirim	ben ne_kadar süre gitmek
seni kim gördü	kim sen görmek ?
onların parasını istemem	ben onların para istemek değil
kimin kazandığını bilmiyorum	ben kim kazanmak bilmek değil
bunu duymak istemiyorum	ben bu duymak istemek değil
bu harika bir duygu	bu harika bir duygu
bulduğu her fırsatta sosisli sandviç yiyor	o her fırsat sosis sandviç yemek
onun mutlu olduğundan eminim	ben onun mutlu olmak emin
arabamdan çıktım	ben benim araba çıkmak
herkesi bu konuda uyarmalısın	sen herkes bu konu uyarmak
o adamın kim olduğunu biliyor musun	sen o adam onun kim olmak bilmek ?
hep hapşırıyorum	ben hep hapşırmak
ben ağaçtan bir dal kestim	ben ağaç bir dal kesmek
onun yüzünde asla herhangi bir duygu göremezsin	onun yüz asla bir duygu görmek değil
o odasına girdi	o onun oda girmek
ben yerde uyudum	ben yer orada uyumak
dana eti yer misin	sen dana et yemek ?
birisini getirebilir miyim	ben biri getirmek
onu inşa etti	o inşa
burada kamera var mı	burada kamera var ?
şimdi terk et	sen şimdi terk_etmek
genç kız ona sarıldı	genç kız ona sarılmak
mümkün değil	mümkün değil
bunu kim söyledi	bu kim söylemek ?
o benim sevgilim değil	o benim sevgili değil
onu kilitle	sen o kilitlemek
ne zaman biter	ne zaman bitmek ?
doktoru görmesi gerekiyordu	o doktor görmek lazım
çiçekleri suluyorum	ben çiçek x2 sulamak
bir şey yapmıyor	o bir_şey yapmak değil
parayı saklayın	siz para saklamak
uzun süre uyumayın	siz uzun süre uyumak değil
onlar sadece değişim istiyorlar	onlar sadece değişmek istemek
bana cep telefonunu ver	sen bana senin cep_telefonu vermek
yalan söylüyor mu	o yalan_söylemek ?
o her yerde seni arıyordu	o her yer sen aramak
et yer misiniz	siz et yemek ?
ben bunu yapmaya devam edeceğim	ben bu yapmak devam_etmek
o bir hakaret miydi	o bir hakaret ?
soru neydi	soru ne ?
onun adamları sert ve iyi savaştı	onun adam onlar sert ve iyi savaşmak
birisi yalan söylüyor	biri yalan_söylemek
yalnız yiyordu	o yalnız yemek
bankta oturuyor	o bank orada oturmak
her çocuk zaman zaman yaramazlık yapar	her çocuk zaman zaman yaramaz yapmak
onları görebilir miyim	ben onlar görmek ?
o pahalı gibi	o pahalı gibi
peşin ödersem bir indirim var mı	ben peşin ödemek indirim var ?
buzdolabından bir bira aldı ve onu arkadaşına uzattı	o buz dolap bir bira almak ve arkadaş uzatmak
doktora ihtiyacımız var	bizim doktor ihtiyaç var
o her şeyi kazandı	o her_şey kazanmak
inatçı	kafa sert
yakında geliyorum	ben yakında gelmek
bunu bize kim gönderdi	bu biz kim göndermek ?
çok iyi bir haberim var	benim çok iyi bir haber var
